folder_name,gps_speed,ground_truth_dist,predicted_dist_raw,predicted_dist_filtered
20260212043820_799,0.03,0.8668436481533903,829.7232001616164,829.7232001616164
20260212043821_235,0.09,0.8678897027181811,825.8207474439647,825.8207474439647
20260212043821_650,0.09,0.8683022096089804,824.2946288254539,824.2946288254539
20260212043822_062,0.09,0.8673576193138662,826.83927163928,826.83927163928
20260212043822_474,0.08,0.8671764497826457,825.4811431072161,825.4811431072161
20260212043822_885,0.08,0.868430957521559,822.5978824947277,822.5978824947277
20260212043823_299,0.07,0.8686162267093582,827.5178430563004,827.5178430563004
20260212043823_711,0.07,0.8688797378190374,833.1170520603216,833.1170520603216
20260212043824_123,0.07,0.8686169729985531,828.705343036086,828.705343036086
20260212043824_535,0.08,0.8683173112097277,824.2946288254539,824.2946288254539
20260212043824_946,0.08,0.8673312670341315,828.1964144733207,828.1964144733207
20260212043825_358,0.08,0.8678163492092483,829.5532368321755,829.5532368321755
20260212043825_781,0.08,0.8685270649015897,831.2499858499123,831.2499858499123
20260212043826_221,0.02,0.8678919593790894,829.5535573073614,829.5535573073614
20260212043826_631,0.02,0.8679703293444824,823.2770897502461,823.2770897502461
20260212043827_042,0.02,0.8682222036025484,826.161019386709,826.161019386709
20260212043827_454,0.08,0.8685335226643499,831.2503069804669,831.2503069804669
20260212043827_867,0.08,0.8684536436616971,834.1339143722487,834.1339143722487
20260212043828_277,0.04,0.8685542068905936,832.946414392463,832.946414392463
20260212043828_690,0.04,0.868237923143764,830.5714144328919,830.5714144328919
20260212043829_102,0.04,0.8684153396433563,828.1967344242121,828.1967344242121
20260212043829_514,0.05,0.8677211876495567,828.8749858903411,828.8749858903411
20260212043829_926,0.05,0.8677934740028688,821.9196288658826,828.1967344242121
20260212043830_339,0.03,0.8672975327980379,824.803557388219,824.803557388219
20260212043830_751,0.03,0.8668542099446611,831.419307508076,831.419307508076
20260212043831_161,0.03,0.8678736068139341,820.3928431775869,820.3928431775869
20260212043831_573,0.03,0.8678856642712767,828.1964144733207,828.1964144733207
20260212043831_983,0.03,0.8671207255504993,831.9288786596346,831.9288786596346
20260212043832_395,0.01,0.8681940502652988,867.0453284661968,831.9288786596346
20260212043832_809,0.01,0.8678800410541077,823.4464145541783,823.4464145541783
20260212043833_220,0.0,0.8684903062744843,827.0089144935351,827.0089144935351
20260212043833_633,0.0,0.8681346503606302,829.2145919429638,829.2145919429638
20260212043834_045,0.0,0.8672190359309372,833.2857001009733,833.2857001009733
20260212043834_457,0.02,0.8666305277425337,828.1964144733207,828.1964144733207
20260212043834_869,0.02,0.8667836781428406,831.2499858499123,831.2499858499123
20260212043835_284,0.03,0.8680955926099776,831.9278852640105,831.9278852640105
20260212043835_697,0.03,0.8673008771205152,833.2853781839766,833.2853781839766
20260212043836_110,0.03,0.8676137084464939,842.4460887747614,833.2853781839766
20260212043836_522,0.02,0.8669664146821183,831.0790003601287,831.0790003601287
20260212043836_934,0.02,0.8676365266320767,826.330023846529,826.330023846529
20260212043837_345,0.03,0.8673411239821172,831.9278852640105,831.9278852640105
20260212043837_757,0.03,0.8675486811735889,824.8028911406237,824.8028911406237
20260212043838_172,0.06,0.8676485565672968,826.4986506949473,826.4986506949473
20260212043838_587,0.06,0.869118646400741,831.757921219622,831.757921219622
20260212043839_001,0.06,0.8684804582678035,830.9093577799368,830.9093577799368
20260212043839_414,0.03,0.8698101958517955,838.0343461479968,831.757921219622
20260212043839_825,0.03,0.8687707375232695,826.3293563656492,826.3293563656492
20260212043840_240,0.06,0.8683962887923279,817.5079384779438,817.5079384779438
20260212043840_654,0.06,0.868108830809593,827.1778891817526,827.1778891817526
20260212043841_077,0.06,0.869384426979705,835.3197421614874,835.3197421614874
20260212043841_512,0.04,0.8677484482593014,866.7043074670709,866.7043074670709
20260212043841_923,0.04,0.8689861089420869,821.4090559597729,821.4090559597729
20260212043842_335,0.09,0.8682708101682206,830.2307874591692,830.2307874591692
20260212043842_748,0.09,0.8681426212424476,830.5700726195531,830.5700726195531
20260212043843_161,0.02,0.8682012025331596,823.1057990911094,830.2307874591692
20260212043843_574,0.02,0.8682827552456689,833.4543477364884,833.4543477364884
20260212043843_987,0.02,0.8677276516593417,835.9983122201076,835.9983122201076
20260212043844_398,0.06,0.8678200028690154,831.078679295111,831.078679295111
20260212043844_808,0.06,0.8667701932879034,829.5518966632155,829.5518966632155
20260212043845_221,0.02,0.8671136393316905,837.8643798813132,837.8643798813132
20260212043845_632,0.02,0.8675460290809525,875.0160905907701,837.8643798813132
20260212043846_044,0.02,0.8672978282363566,831.7572493537313,831.7572493537313
20260212043846_456,0.06,0.8670817910794095,821.2380867052539,821.2380867052539
20260212043846_889,0.06,0.8674696002188689,829.7212186371477,829.7212186371477
20260212043847_302,0.06,0.8679514639601069,832.2651830969354,832.2651830969354
20260212043847_714,0.06,0.8694802957900443,818.5238108557838,818.5238108557838
20260212043848_128,0.06,0.8696289795503716,821.2390961812374,821.2390961812374
20260212043848_541,0.02,0.8716988585090207,817.6765760326999,817.6765760326999
20260212043848_952,0.02,0.8699397990180397,824.6329008874538,824.6329008874538
20260212043849_364,0.15,0.868636897498464,853.4711315395256,853.4711315395256
20260212043849_776,0.15,0.8692756579755156,825.8194133043949,825.8194133043949
20260212043850_188,0.67,0.860904952571526,814.4536842550605,814.4536842550605
20260212043850_602,0.67,0.8515011475999553,803.4262722081303,803.4262722081303
20260212043851_014,0.67,0.8582421892287645,811.2304765898145,811.2304765898145
20260212043851_426,0.58,0.8632823862169494,907.4178108898855,811.2304765898145
20260212043851_864,0.58,0.8606820452046393,820.2212414865281,820.2212414865281
20260212043852_277,0.36,0.8608873066643241,820.3912008718426,820.3912008718426
20260212043852_689,0.36,0.86047117659269,815.9808107230494,820.2212414865281
20260212043853_124,0.36,0.8563322392166488,813.9461002700978,813.9461002700978
20260212043853_535,0.02,0.8542651161948722,816.3200958834333,816.3200958834333
20260212043853_948,0.02,0.8540219498977608,818.3558068457361,818.3558068457361
20260212043854_358,0.08,0.8534967779906725,821.7499860116275,821.7499860116275
20260212043854_770,0.08,0.8536343026556885,823.9540119920689,823.9540119920689
20260212043855_184,0.05,0.854976320738432,819.2040197466955,819.2040197466955
20260212043855_597,0.05,0.854686372082792,826.4986506949473,826.4986506949473
20260212043856_009,0.05,0.8530334949332368,819.5436502981835,819.5436502981835
20260212043856_437,0.07,0.8529238603049261,853.9811085905725,853.9811085905725
20260212043856_824,0.07,0.8523333401362403,819.8829356015568,819.8829356015568
20260212043857_237,0.1,0.8517415435349149,832.6064561329044,832.6064561329044
20260212043857_650,0.1,0.8528271139056294,836.3385959118212,836.3385959118212
20260212043858_063,0.1,0.8521475211563334,819.0350387550249,819.0350387550249
20260212043858_473,0.05,0.851463012997558,829.722529940105,829.722529940105
20260212043858_886,0.05,0.8516250299444543,861.2757426130983,861.2757426130983
20260212043859_300,0.08,0.8545644092515222,818.5261106033544,818.5261106033544
20260212043859_714,0.08,0.8574100008906993,808.3475475699448,808.3475475699448
20260212043900_126,0.08,0.8593648464946084,862.1232594769859,862.1232594769859
20260212043900_537,0.82,0.8766266398795782,808.8568166085506,808.8568166085506
20260212043900_949,0.82,0.8974862159769292,815.8121709459983,815.8121709459983
20260212043901_362,1.78,0.8805474550907317,829.5528872228815,829.5528872228815
20260212043901_774,1.78,0.8628174698542922,886.5524977144083,886.5524977144083
20260212043902_186,0.31,0.849893122658735,804.4601734551638,804.4601734551638
20260212043902_620,0.31,0.8401603592266007,809.718879068533,809.718879068533
20260212043903_033,0.31,0.8344825386526051,786.3071386758039,786.3071386758039
